,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
76,FS,2025-03-28,91.9,-1.73,5.27,"Yamamoto, Yoshinobu",679529,808967,,foul,,,,,13,Spencer Torkelson strikes out on a foul tip.,R,R,R,LAD,DET,S,,,1,2,2025,-0.54,0.24,-0.31,1.41,681481.0,,682985.0,1,1,Top,,,,,,,4.797624636575901,-133.9076540842524,-4.53440968294563,-7.440590583809769,25.47360586779316,-28.594646842422957,3.47,1.57,3.0,58.4,-25.0,92.6,1545,6.4,778544,605131,518692,669242,571970,605141,624424,681624,606192,54.12,,,,,,,,4,4,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,236,0.0,0.0,69.4,7.6,,0.0,88.0,0,0,0.436,0.564,26,25,27,26,1,0,10,1.0,,1.0,2.43,0.54,0.54,36.8
77,FS,2025-03-28,91.7,-1.77,5.36,"Yamamoto, Yoshinobu",679529,808967,,foul,,,,,7,Spencer Torkelson strikes out on a foul tip.,R,R,R,LAD,DET,S,,,1,1,2025,-1.34,0.26,-0.28,1.48,681481.0,,682985.0,1,1,Top,,,,,,,6.685869841351599,-133.3254450585795,-4.528386067646308,-17.432410238952993,28.74327312070397,-28.252889838914047,3.47,1.57,,,,92.0,1474,6.5,778544,605131,518692,669242,571970,605141,624424,681624,606192,54.0,,,,,,,,4,3,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,230,0.0,-0.071,77.0,7.7,,0.071,,0,0,0.436,0.564,26,25,27,26,1,0,10,1.0,,1.0,2.45,1.34,1.34,40.4
78,SI,2025-03-28,94.8,-1.71,5.36,"Yamamoto, Yoshinobu",679529,808967,,foul,,,,,7,Spencer Torkelson strikes out on a foul tip.,R,R,R,LAD,DET,S,,,1,0,2025,-1.26,0.81,-0.58,2.0,681481.0,,682985.0,1,1,Top,,,,,,,5.807096676598107,-137.88797636053187,-4.928139164765934,-17.431092283946814,31.245063658917157,-20.90332796129032,3.47,1.57,2.0,95.2,-41.0,95.2,2428,6.6,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.91,,,,,,,,4,2,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,212,0.0,-0.062,68.6,6.7,,0.062,95.2,0,0,0.436,0.564,26,25,27,26,1,0,10,1.0,,1.0,1.73,1.26,1.26,40.4
79,FF,2025-03-28,96.0,-1.61,5.43,"Yamamoto, Yoshinobu",679529,808967,,ball,,,,,14,Spencer Torkelson strikes out on a foul tip.,R,R,R,LAD,DET,B,,,0,0,2025,-0.63,1.43,1.28,1.6,681481.0,,682985.0,1,1,Top,,,,,,,9.100327962032766,-139.3423802725606,-7.816456420327556,-10.267254725087572,30.57176838005441,-11.859326039970504,3.3,1.66,,,,96.3,2372,6.6,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.95,,,,,,,,4,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,209,0.0,0.024,,,,-0.024,,0,0,0.436,0.564,26,25,27,26,1,0,10,1.0,,1.0,1.05,0.63,0.63,42.0
80,CU,2025-03-28,74.8,-1.54,5.47,"Yamamoto, Yoshinobu",682985,808967,single,hit_into_play,,,,,13,Riley Greene singles on a sharp line drive to center fielder Andy Pages. Kerry Carpenter to 3rd.,R,L,R,LAD,DET,X,8.0,line_drive,0,0,2025,1.06,-1.57,-0.21,1.48,,,681481.0,1,1,Top,146.14,85.23,,,,,0.8691690903023619,-108.70738448883488,1.9590313446264205,8.097354462194534,23.682739766383406,-45.11372621851032,3.42,1.64,193.0,105.2,11.0,74.5,2798,6.7,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.78,0.937,0.917,0.9,1.0,1.0,0.0,4.0,3,1,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,30,-0.061,0.405,,,1.179,-0.405,105.2,0,0,0.497,0.503,26,24,27,25,1,0,10,1.0,,1.0,5.74,-1.06,1.06,50.6
81,FF,2025-03-28,96.4,-1.78,5.39,"Yamamoto, Yoshinobu",681481,808967,single,hit_into_play,,,,,5,Kerry Carpenter singles on a sharp ground ball to right fielder Teoscar Hernández.,R,L,R,LAD,DET,X,9.0,ground_ball,3,2,2025,-0.8,1.24,-0.12,2.38,,,,1,1,Top,154.61,92.13,,,,,6.260690559443554,-140.1853428478421,-5.257150266282367,-11.920922030207263,31.6165691039154,-14.84530922307282,3.3,1.6,125.0,102.9,8.0,96.9,2418,6.6,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.92,0.717,0.665,0.9,1.0,1.0,0.0,4.0,2,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,214,-0.025,0.345,77.1,7.0,0.803,-0.345,102.9,0,0,0.522,0.478,26,27,27,28,1,0,10,1.0,,1.0,1.22,0.8,-0.8,42.9
82,CU,2025-03-28,76.2,-1.38,5.47,"Yamamoto, Yoshinobu",681481,808967,,ball,,,,,13,Kerry Carpenter singles on a sharp ground ball to right fielder Teoscar Hernández.,R,L,R,LAD,DET,B,,,2,2,2025,0.84,-1.6,-0.5,0.97,,,,1,1,Top,,,,,,,0.3372548052920271,-110.97444087036244,0.5789457728268375,6.796127934242188,22.43891325433485,-45.61831889650113,3.04,1.57,,,,76.5,2714,6.7,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.76,,,,,,,,2,5,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,29,0.0,0.108,,,,-0.108,,0,0,0.522,0.478,26,27,27,28,1,0,10,1.0,,1.0,5.56,-0.84,0.84,50.6
83,FF,2025-03-28,96.0,-1.72,5.39,"Yamamoto, Yoshinobu",681481,808967,,foul,,,,,5,Kerry Carpenter singles on a sharp ground ball to right fielder Teoscar Hernández.,R,L,R,LAD,DET,S,,,2,1,2025,-0.63,1.57,0.08,2.62,,,,1,1,Top,,,,,,,6.214925325557357,-139.67666773580552,-5.3202645159632524,-9.613093762105162,31.495547849058006,-10.563109288853324,3.3,1.6,186.0,70.8,42.0,96.5,2468,6.6,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.93,,,,,,,,2,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,211,0.0,-0.078,,,,0.078,88.0,0,0,0.522,0.478,26,27,27,28,1,0,10,1.0,,1.0,0.9,0.63,-0.63,40.3
84,CU,2025-03-28,76.3,-1.48,5.49,"Yamamoto, Yoshinobu",681481,808967,,ball,,,,,11,Kerry Carpenter singles on a sharp ground ball to right fielder Teoscar Hernández.,R,L,R,LAD,DET,B,,,1,1,2025,1.08,-1.67,-0.89,2.66,,,,1,1,Top,,,,,,,-0.6965613495649925,-110.82791234677046,4.297542606755652,8.909262483171831,23.65589302783775,-46.901249646562015,3.02,1.55,,,,76.2,2948,6.7,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.77,,,,,,,,2,3,Curveball,0,0,0,0,0,0,0,0,Infield shade,Standard,31,0.0,0.059,,,,-0.059,,0,0,0.522,0.478,26,27,27,28,1,0,10,1.0,,1.0,5.66,-1.08,1.08,50.3
85,FF,2025-03-28,96.7,-1.55,5.41,"Yamamoto, Yoshinobu",681481,808967,,ball,,,,,13,Kerry Carpenter singles on a sharp ground ball to right fielder Teoscar Hernández.,R,L,R,LAD,DET,B,,,0,1,2025,-0.81,1.34,-0.71,0.78,,,,1,1,Top,,,,,,,4.113020539169216,-140.47366039447903,-9.874690683544433,-11.626022956611914,31.14347542711068,-12.44769263464785,3.13,1.66,,,,97.2,2452,6.6,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.86,,,,,,,,2,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,214,0.0,0.024,,,,-0.024,,0,0,0.522,0.478,26,27,27,28,1,0,10,1.0,,1.0,1.11,0.81,-0.81,41.6
86,FF,2025-03-28,95.8,-1.68,5.38,"Yamamoto, Yoshinobu",681481,808967,,foul,,,,,5,Kerry Carpenter singles on a sharp ground ball to right fielder Teoscar Hernández.,R,L,R,LAD,DET,S,,,0,0,2025,-0.74,1.49,-0.06,2.29,,,,1,1,Top,,,,,,,5.996480275680292,-139.32673322695987,-5.937853472400567,-11.001371326351794,32.174311662380056,-11.612883208729732,3.3,1.6,204.0,72.1,46.0,96.2,2478,6.6,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.89,,,,,,,,2,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,213,0.0,-0.037,71.2,6.8,,0.037,88.0,0,0,0.522,0.478,26,27,27,28,1,0,10,1.0,,1.0,1.0,0.74,-0.74,42.6
87,FF,2025-03-28,95.5,-1.64,5.36,"Yamamoto, Yoshinobu",650402,808967,field_out,hit_into_play,,,,,5,Gleyber Torres flies out to right fielder Teoscar Hernández.,R,R,R,LAD,DET,X,9.0,fly_ball,1,2,2025,-0.65,1.12,-0.21,2.4,,,,0,1,Top,199.13,93.68,,,,,5.257772302968545,-138.9556296178133,-4.726335848903999,-9.619570958230485,30.428675251694543,-16.801711032350017,3.2,1.52,317.0,96.0,28.0,96.0,2177,6.5,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.98,0.28,0.468,0.0,1.0,0.0,0.0,5.0,1,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,212,0.022,-0.186,62.1,6.7,0.846,0.186,96.0,0,0,0.5,0.5,26,28,27,29,1,0,10,1.0,,,1.38,0.65,0.65,41.1
88,FS,2025-03-28,91.9,-1.54,5.41,"Yamamoto, Yoshinobu",650402,808967,,ball,,,,,13,Gleyber Torres flies out to right fielder Teoscar Hernández.,R,R,R,LAD,DET,B,,,0,2,2025,-1.05,-0.16,-0.77,0.12,,,,0,1,Top,,,,,,,4.250528807542157,-133.73819642273833,-7.287387950713196,-13.467131171667258,26.57862083031693,-32.78610290085417,3.03,1.42,,,,92.6,1478,6.6,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.95,,,,,,,,1,3,Split-Finger,0,0,0,0,0,0,0,0,Standard,Standard,232,0.0,0.023,,,,-0.023,,0,0,0.5,0.5,26,28,27,29,1,0,10,1.0,,,2.84,1.05,1.05,43.7
89,CU,2025-03-28,76.9,-1.42,5.58,"Yamamoto, Yoshinobu",650402,808967,,called_strike,,,,,8,Gleyber Torres flies out to right fielder Teoscar Hernández.,R,R,R,LAD,DET,S,,,0,1,2025,0.76,-1.61,-0.14,1.77,,,,0,1,Top,,,,,,,1.339561018102995,-111.77665712841386,2.0284321352982864,5.995721072319282,24.396161749227137,-46.14569378434295,2.96,1.46,,,,76.6,2726,6.6,778544,605131,518692,669242,571970,605141,624424,681624,606192,53.89,,,,,,,,1,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,28,0.0,-0.054,,,,0.054,,0,0,0.5,0.5,26,28,27,29,1,0,10,1.0,,,5.54,-0.76,-0.76,49.0
90,FF,2025-03-28,96.1,-1.63,5.49,"Yamamoto, Yoshinobu",650402,808967,,called_strike,,,,,6,Gleyber Torres flies out to right fielder Teoscar Hernández.,R,R,R,LAD,DET,S,,,0,0,2025,-0.8,1.29,0.75,2.53,,,,0,1,Top,,,,,,,8.13918074049536,-139.78645458188706,-5.227437872344006,-12.254724061515558,29.159723288025123,-14.278164495706536,3.03,1.6,,,,96.7,2298,6.5,778544,605131,518692,669242,571970,605141,624424,681624,606192,54.04,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,213,0.0,-0.037,,,,0.037,,0,0,0.5,0.5,26,28,27,29,1,0,10,1.0,,,1.17,0.8,0.8,43.1
