,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
10,SL,2025-04-01,74.3,3.12,4.74,"Ohtani, Shohei",660271,519242,,called_strike,,,,,9,"Shohei Ohtani grounds out sharply, shortstop Nick Allen to first baseman Matt Olson.",R,L,L,LAD,ATL,S,,,0,0,2025,-1.27,-0.37,0.43,1.78,,,,1,3,Bot,,,,,,,-3.2923280877254264,-108.13510244453995,1.766083338859508,-9.44810475700247,18.0476063175876,-35.5719915429501,3.38,1.62,,,,74.5,2012,6.3,778487,686948,621566,645277,663586,669397,650559,671739,672284,54.2,,,,,,,,21,1,Slider,0,1,0,1,1,0,0,1,Infield shade,Standard,303,0.0,-0.037,,,,0.037,,-1,-1,0.403,0.403,36,30,36,31,2,1,,,,,4.48,-1.27,-1.27,
11,FF,2025-04-01,94.2,1.48,6.47,"Ohtani, Shohei",660271,669276,field_out,hit_into_play,,,,,4,"Shohei Ohtani grounds out, second baseman Ozzie Albies to first baseman Matt Olson.",R,L,L,LAD,ATL,X,4.0,ground_ball,0,0,2025,0.36,1.63,-0.7,2.79,,,,2,7,Bot,137.88,139.96,,,,,-6.466168282711497,-136.98683039237875,-7.52768896533348,5.9148284811116,28.42422150718531,-10.092972543102238,3.38,1.62,28.0,95.9,-4.0,94.5,2160,6.4,778487,686948,621566,645277,663586,669397,650559,671739,642201,54.14,0.323,0.314,0.0,1.0,0.0,0.0,2.0,54,1,4-Seam Fastball,3,1,3,1,1,3,3,1,Infield shade,Standard,158,-0.006,-0.256,73.0,8.2,0.373,0.256,95.9,2,2,0.876,0.876,30,30,31,31,1,3,,,,,0.92,0.36,0.36,
12,CH,2025-04-01,91.6,3.04,4.61,"Ohtani, Shohei",660271,519242,field_out,hit_into_play,,,,,5,"Shohei Ohtani grounds out sharply, second baseman Ozzie Albies to first baseman Matt Olson.",R,L,L,LAD,ATL,X,4.0,ground_ball,0,1,2025,1.27,0.15,0.13,2.75,,,,0,1,Bot,150.53,145.27,,,,,-10.09557876045216,-133.0552355833725,0.8317408244460973,17.179436737275186,26.378432256725247,-30.80190574127596,3.38,1.62,14.0,100.0,-10.0,92.0,2012,6.4,778487,686948,621566,645277,663586,669397,650559,671739,672284,54.06,0.274,0.263,0.0,1.0,0.0,0.0,2.0,4,2,Changeup,0,0,0,0,0,0,0,0,Infield shade,Strategic,111,-0.021,-0.217,76.9,7.8,0.305,0.217,100.0,0,0,0.547,0.547,36,30,36,31,1,0,,,,,2.56,1.27,1.27,
13,SI,2025-04-01,92.3,2.97,4.71,"Ohtani, Shohei",660271,519242,,called_strike,,,,,8,"Shohei Ohtani grounds out sharply, second baseman Ozzie Albies to first baseman Matt Olson.",R,L,L,LAD,ATL,S,,,0,0,2025,1.33,0.04,-0.24,1.6,,,,0,1,Bot,,,,,,,-11.041776342646084,-134.02671794953517,-2.14431093441003,18.361372154816973,28.35667119609621,-31.46733976706389,3.38,1.62,,,,92.3,1994,6.4,778487,686948,621566,645277,663586,669397,650559,671739,672284,54.13,,,,,,,,4,1,Sinker,0,0,0,0,0,0,0,0,Infield shade,Strategic,111,0.0,-0.037,,,,0.037,,0,0,0.547,0.547,36,30,36,31,1,0,,,,,2.65,1.33,1.33,
14,CU,2025-03-31,81.8,-2.34,6.0,"Ohtani, Shohei",660271,656550,strikeout,foul_tip,,,,,11,Shohei Ohtani strikes out on a foul tip.,R,L,R,LAD,ATL,S,2.0,,1,2,2025,0.35,-1.12,-0.87,2.59,,,,2,4,Bot,,,,,,,2.638039901158984,-119.0560501302377,1.071572183786194,2.796090969517512,24.353112956108617,-43.261231690287325,3.36,1.6,,,,81.1,2836,6.0,778500,686948,621566,645277,663586,606115,650559,671739,672284,54.54,,0.0,0.0,1.0,0.0,0.0,,34,4,Curveball,4,0,4,0,0,4,4,0,Infield shade,Standard,40,-0.003,-0.18,71.0,8.0,,0.18,,4,4,0.908,0.908,29,30,29,31,3,2,4.0,2.0,,,4.55,-0.35,0.35,42.8
15,CU,2025-03-31,81.0,-2.56,5.89,"Ohtani, Shohei",660271,656550,,foul,,,,,11,Shohei Ohtani strikes out on a foul tip.,R,L,R,LAD,ATL,S,,,1,1,2025,0.54,-1.07,-1.02,2.7,,,,2,4,Bot,,,,,,,2.3785351640678263,-117.9602767444394,1.512506493040251,4.565885368014418,22.809991116525485,-42.62786408652569,3.36,1.6,,,,80.2,2781,5.7,778500,686948,621566,645277,663586,606115,650559,671739,672284,54.76,,,,,,,,34,3,Curveball,4,0,4,0,0,4,4,0,Infield shade,Standard,42,0.0,-0.064,73.3,8.4,,0.064,,4,4,0.908,0.908,29,30,29,31,3,2,4.0,2.0,,,4.54,-0.54,0.54,39.9
16,FF,2025-03-31,93.8,-2.55,5.79,"Ohtani, Shohei",660271,656550,,ball,,,,,11,Shohei Ohtani strikes out on a foul tip.,R,L,R,LAD,ATL,B,,,0,1,2025,-0.09,0.99,-0.41,4.25,,,,2,4,Bot,,,,,,,5.688898791889738,-136.56486074823331,-0.4605221174186548,-2.3246455743172056,29.10165600852736,-19.863030798808904,3.38,1.69,,,,93.1,2288,5.8,778500,686948,621566,645277,663586,606115,650559,671739,672284,54.74,,,,,,,,34,2,4-Seam Fastball,4,0,4,0,0,4,4,0,Infield shade,Standard,207,0.0,0.029,,,,-0.029,,4,4,0.908,0.908,29,30,29,31,3,2,4.0,2.0,,,1.59,0.09,-0.09,36.0
17,FF,2025-03-31,93.9,-2.43,5.74,"Ohtani, Shohei",660271,656550,,called_strike,,,,,4,Shohei Ohtani strikes out on a foul tip.,R,L,R,LAD,ATL,S,,,0,0,2025,-0.16,1.19,-0.55,2.51,,,,2,4,Bot,,,,,,,5.145979816199256,-136.5980572930819,-5.233835738975497,-3.110899844081669,29.656372019596503,-16.346623080399876,3.43,1.68,,,,93.0,2273,5.8,778500,686948,621566,645277,663586,606115,650559,671739,672284,54.73,,,,,,,,34,1,4-Seam Fastball,4,0,4,0,0,4,4,0,Infield shade,Standard,214,0.0,-0.041,,,,0.041,,4,4,0.908,0.908,29,30,29,31,3,2,4.0,2.0,,,1.4,0.16,-0.16,37.6
18,CU,2025-03-31,83.1,-2.41,5.83,"Ohtani, Shohei",660271,656550,strikeout,swinging_strike_blocked,,,,,13,"Shohei Ohtani strikes out swinging, catcher Drake Baldwin to first baseman Matt Olson.",R,L,R,LAD,ATL,S,2.0,,0,2,2025,0.25,-0.99,-0.7,0.78,,,,0,3,Bot,,,,,,,3.3897383707345594,-121.0108888528308,-3.1444079739194417,1.807444672182301,24.448918818485463,-41.430777333823336,3.36,1.6,,,,82.4,2870,5.9,778500,686948,621566,645277,663586,606115,650559,671739,672284,54.62,,0.0,0.0,1.0,0.0,0.0,,21,3,Curveball,2,0,2,0,0,2,2,0,Infield shade,Standard,31,-0.015,-0.163,34.3,7.7,,0.163,,2,2,0.772,0.772,29,30,29,31,2,1,4.0,2.0,,,4.29,-0.25,0.25,40.8
19,CU,2025-03-31,82.4,-2.52,5.84,"Ohtani, Shohei",660271,656550,,swinging_strike,,,,,13,"Shohei Ohtani strikes out swinging, catcher Drake Baldwin to first baseman Matt Olson.",R,L,R,LAD,ATL,S,,,0,1,2025,0.24,-0.86,-0.73,1.21,,,,0,3,Bot,,,,,,,3.560557700957389,-119.95865920737222,-2.314495176619953,1.5632258417716387,23.9872841032737,-40.2332698805516,3.36,1.6,,,,81.7,2920,5.8,778500,686948,621566,645277,663586,606115,650559,671739,672284,54.66,,,,,,,,21,2,Curveball,2,0,2,0,0,2,2,0,Infield shade,Standard,30,0.0,-0.054,71.5,8.9,,0.054,,2,2,0.772,0.772,29,30,29,31,2,1,4.0,2.0,,,4.23,-0.24,0.24,40.0
