iter	RMSE
418	1.60173259
419	1.600674948
420	1.599930864
421	1.599369679
422	1.598401111
423	1.598082486
424	1.597600364
425	1.596950804
426	1.596177856
427	1.595554553
428	1.594603933
429	1.593795163
430	1.592813955
431	1.592037109
432	1.591362795
433	1.590805237
434	1.589756562
435	1.589054748
436	1.588270956
437	1.587802675
438	1.587063594
439	1.586455391
440	1.585693297
441	1.585300713
442	1.584810368
443	1.583631895
444	1.582989114
445	1.581909711
446	1.580928439
447	1.579875728
448	1.579083312
449	1.578243674
450	1.577214594
451	1.576554694
452	1.575793197
453	1.5753361
454	1.574296428
455	1.573688263
456	1.567695925
457	1.567440889
458	1.566446397
459	1.565374047
460	1.564612226
461	1.563969357
462	1.562945452
463	1.562304565
464	1.561766804
465	1.56075526
466	1.55985036
467	1.558970352
468	1.558040115
469	1.557479118
470	1.556722813
471	1.556058544
472	1.555498068
473	1.555014027
474	1.551575507
475	1.550802314
476	1.550086817
477	1.549573616
478	1.548809961
479	1.548051964
480	1.547517786
481	1.542570437
482	1.538991113
483	1.537984647
484	1.537183286
485	1.536480191
486	1.535216866
487	1.534375531
488	1.533603914
489	1.533131068
490	1.532568055
491	1.528692807
492	1.527825588
493	1.526967084
494	1.525943363
495	1.524312948
496	1.523565075
497	1.5228803
498	1.522182266
499	1.521324371
